ts,open,high,low,close,volume
1609,33.671579056480006,33.78082587802598,33.28141013567144,33.421871185302734,72714756
1609,33.453082954541806,33.593544006347656,32.69615726064659,33.593544006347656,93349643
1609,33.59354359598531,34.607982198050266,33.43747543180163,34.29584884643555,89119921
1609,33.71059553969677,34.16318994242708,32.78979664335451,33.68718338012695,154952285
1609,33.36724049048394,33.39845471453989,32.33719491065554,32.91464614868164,138717699
1609,32.85222083797825,34.490932036386695,32.77418824713846,34.4519157409668,120064563
1609,34.56116059510947,35.872128288647204,34.537748437785766,35.8175048828125,107832187
1610,36.215479707647674,36.69148627516486,35.74727818565685,36.36374282836914,129959481
1610,36.34813960439808,38.369211840633255,36.27790907665901,37.783958435058594,144523356
1610,37.88540143343901,39.05590819025022,37.11286864092507,38.78279113769531,104448591
1610,38.470655225220945,39.001285198817314,38.14291475863341,38.54869079589844,64910979
1610,38.54869378388106,39.079323798607575,37.89320982314554,38.27557373046875,70377099
1610,39.40705934576971,42.052404041413254,39.39145223238287,39.90647506713867,177574522
1610,40.18740005889563,41.420335314786556,39.9845135237093,40.515140533447266,123764160
1611,40.81167052461664,41.53738499108515,40.179598747000874,40.46051788330078,90188002
1611,40.655599871926675,41.45154481807902,39.789427378550165,40.359073638916016,79228118
1611,41.33449732772881,41.74807544027723,40.694620521737676,41.07698440551758,73671459
1611,41.240850298641384,41.240850298641384,39.797226602771225,40.2966423034668,87000132
1611,39.87526346627192,40.93652343244439,39.09492560605718,40.66340637207031,86536206
1611,40.57756889795775,41.43593935702115,39.79723103453548,40.10936737060547,60117533
1611,40.27323298398607,41.27986942665582,40.27323298398607,40.57756423950195,60923156
1611,39.79722877510154,40.382482139441265,39.6411606159271,40.27323532104492,52386951
1611,40.71802952665511,40.936523173572674,39.64896749841214,39.87526321411133,62148914
1612,39.75041010321857,41.18623190587178,39.39145539674345,40.889705657958984,79662587
1612,40.85068732653922,41.20183997218125,40.26543390938678,40.554161071777344,72030553
1612,40.632192316131494,42.13824463089442,40.17959790319256,41.39692306518555,76587606
1612,41.25646368511865,43.07465240974893,41.053577142140924,41.748077392578125,96910977
1612,42.255294985448735,43.652097448741834,41.90414236410308,42.715694427490234,115157754
1612,43.066840369982366,43.38677873598314,41.89633371728405,43.121463775634766,81637776
1612,43.21510645111232,43.21510645111232,42.3333239392556,43.121463775634766,61900527
1612,43.933019809259136,43.933019809259136,42.09922707543385,42.56742858886719,75350767
1613,43.42580473796553,44.947461240968764,43.06684704649158,43.45701599121094,107091322
1613,43.42580243778916,44.25295865165961,42.82494193753737,43.074649810791016,71018164
1613,43.12927666410485,43.496036434546006,41.63883137434254,42.294315338134766,80151145
1614,42.778116839624495,44.268561879593626,42.29430824976212,43.34776306152344,95299102
1614,43.58186318997511,43.58186318997511,41.24084988394059,41.82610321044922,84432226
1614,42.52841525567824,43.308753150277845,42.06801577879437,42.48939895629883,88618727
1614,41.826107852311544,42.48939681535123,39.68798379582561,39.87526321411133,132728876
1614,39.88306842331466,40.03133154479534,39.0403021073124,39.321224212646484,89418363
1614,39.68798073531797,39.719194961542755,38.24435402832235,38.66573715209961,100778621
1614,39.01689245091153,41.342298883775534,38.70475612060317,41.178428649902344,131593315
1614,40.72583244260926,42.04460535058723,40.57756931865286,40.889705657958984,83303904
1614,40.4995363023166,40.88190018841199,39.1027308123701,40.10936737060547,73519585
1615,40.25762953265495,40.5619608158492,38.782791482250445,38.9622688293457,69813759
1615,39.03249591800382,39.78161946864446,37.596674290899735,37.84638214111328,98322245
1615,38.24435442775047,39.01689016274389,37.88539975267383,38.431636810302734,67590993
1615,39.17296265008725,40.77265472828669,39.17296265008725,40.554161071777344,90421033
1615,40.85068396670675,41.662236019498025,40.67901166932008,41.60761260986328,85580753
1615,41.34229990305962,42.75471251623625,41.07698490878204,41.44374465942383,93931916
1615,41.97437279783103,43.113665320848206,41.74807411159057,42.3879508972168,69716276
1615,42.09922918357686,42.38795336542702,41.59200837133085,41.6700439453125,53231461
1616,41.74027379125349,42.372345558033054,41.27987433092194,42.32552719116211,48279311
1616,42.15384670494338,42.49719425221299,40.21860939198747,40.390281677246094,77628361
1616,40.73363575650411,42.70008746632184,40.65560018661891,41.96656799316406,79169531
1616,42.05240604919156,42.48939631462961,41.21744479202179,41.73246765136719,59592261
1616,42.10702426388062,42.138238488292494,40.28103381031786,40.7336311340332,57501314
1616,41.09259335242042,41.272070710714125,39.45388496678031,39.80503463745117,78453830
1616,40.14838536672378,40.43710955491244,39.58654112873258,40.26543426513672,70947525
1616,40.343470464745494,40.42150306489423,39.446080679270565,39.75041198730469,77980362
1617,39.87526094210387,40.23421859741211,39.352436037696954,40.23421859741211,56940202
1617,40.18739954692444,40.18739954692444,39.12613958746309,39.87526321411133,52164954
1617,39.812833495175816,40.01572000617841,39.56312564620999,39.83624267578125,33719469
1617,39.937690386944844,39.9923137969175,39.52411228950828,39.75821304321289,41153422
1617,39.87526337489215,40.444912631085856,39.641162612714744,39.7894287109375,44400201
1617,39.9142802424231,39.9142802424231,39.03249768208105,39.35243606567383,50061023
1617,39.172961764300695,39.508507287354234,39.05590989281588,39.40706253051758,29501067
1617,39.57873482227473,39.57873482227473,38.90764382691007,39.21197509765625,31506834
1618,39.24318705641309,39.52410912909668,38.77498260968967,39.3758430480957,41474239
1618,39.40706261789211,39.9532997247778,38.97007233703301,39.2666015625,49039895
1618,39.46948926851529,39.485093405730474,38.455047697876815,38.78279113769531,55438353
1618,38.79839543717502,39.00128195053348,37.67470712702845,38.579898834228516,57296514
1618,38.79839969087318,38.89984147029788,38.306786001285545,38.81400680541992,31558344
1618,38.938863111114216,40.40589624661718,38.626726754718355,40.398094177246094,67932061
1618,39.805033269405484,40.72583219022417,39.805033269405484,40.569766998291016,35574407
1618,40.62438540732536,41.506164944803864,40.600973250016764,41.272064208984375,52446360
1619,41.27206724768314,41.59200563810113,40.71022305894811,41.05357360839844,42927078
1619,41.12380516547243,41.74807484822622,40.819473881177004,41.59200668334961,47104918
1619,42.13824295936699,42.528411875657426,40.34346653978151,40.6321907043457,91625741
1619,40.53855099792673,40.91311280035523,40.24982683336253,40.6321907043457,36329922
1619,40.73363220126806,40.87409323804934,40.17178805414292,40.390281677246094,38985543
1619,40.5775692358978,41.6310241695902,40.02353006267446,41.57640075683594,55274544
1619,41.20183477346522,41.498363967564806,40.429302027281295,41.123802185058594,45068841
1620,41.12380400857713,42.43477179385625,40.952128734367164,41.88072967529297,63835290
1620,42.04460483369861,43.07465057329176,41.59981249054486,42.27870559692383,72368376
1620,42.29431194059959,42.33332823763398,41.36570799671689,42.060211181640625,49224048
1620,41.70905451783914,42.25529155370864,41.576395548659,42.01338577270508,32853312
